Date,BTC,ETH,LTC,XRP
2019-04-22 07-AM,5288.64,170.09,76.89,0.3268
2019-04-22 06-AM,5278.18,170.28,76.22,0.3265
2019-04-22 05-AM,5287.91,169.62,76.33,0.3264
2019-04-22 04-AM,5275.2,169.36,75.97,0.3257
2019-04-22 03-AM,5277.07,168.43,75.98,0.328
2019-04-22 02-AM,5257.56,168.95,75.72,0.3198
2019-04-22 01-AM,5264.03,169.4,76.28,0.3198
2019-04-22 12-AM,5268.4,170.25,76.19,0.3195
2019-04-21 11-PM,5289.55,169.87,77.23,0.3209
2019-04-21 10-PM,5295.65,169.94,77.51,0.3218
2019-04-21 09-PM,5292.57,169.11,77.23,0.3216
2019-04-21 08-PM,5275.06,168.2,76.53,0.3195
2019-04-21 07-PM,5239.73,168.31,75.95,0.3188
2019-04-21 06-PM,5259.38,168.02,75.85,0.3187
2019-04-21 05-PM,5240.58,168.4,75.62,0.3181
2019-04-21 04-PM,5264.56,168.78,75.9,0.3191
2019-04-21 03-PM,5270.96,169.07,75.63,0.3192
2019-04-21 02-PM,5280.88,168.69,76.36,0.321
2019-04-21 01-PM,5273.94,168.83,76.17,0.3202
2019-04-21 12-PM,5268.35,167.76,76.18,0.3207
2019-04-21 11-AM,5251.05,168.09,75.53,0.3191
2019-04-21 10-AM,5258.04,169.22,75.25,0.319
2019-04-21 09-AM,5261.03,169.04,76.19,0.3195
2019-04-21 08-AM,5253.64,171.07,75.71,0.3183
2019-04-21 07-AM,5308.39,171.95,79.52,0.3237
2019-04-21 06-AM,5312.78,172.96,80.23,0.3244
2019-04-21 05-AM,5325.63,172.51,80.52,0.3248
2019-04-21 04-AM,5312.39,173.22,80.92,0.3251
2019-04-21 03-AM,5328.4,173.38,81.25,0.3263
2019-04-21 02-AM,5335.48,173.81,81.24,0.3277
2019-04-21 01-AM,5336,173.67,81.53,0.3283
2019-04-21 12-AM,5327.54,173.77,81.34,0.3289
2019-04-20 11-PM,5327.16,173.5,81.65,0.3286
2019-04-20 10-PM,5318.89,172.6,81.47,0.328
2019-04-20 09-PM,5291.3,171.43,81.17,0.3266
2019-04-20 08-PM,5277.52,172.95,80.15,0.325
2019-04-20 07-PM,5316.93,173.36,80.97,0.3275
2019-04-20 06-PM,5318.89,173.62,80.84,0.3287
2019-04-20 05-PM,5311.83,173.41,80.69,0.3297
2019-04-20 04-PM,5303.5,173.63,80.82,0.3299
2019-04-20 03-PM,5325.93,173.15,81.38,0.3299
2019-04-20 02-PM,5319.37,172.72,81.34,0.3295
2019-04-20 01-PM,5313.55,173.6,81.31,0.3292
2019-04-20 12-PM,5319.86,173.62,81.46,0.33
2019-04-20 11-AM,5317.86,173.43,81.37,0.3299
