Date,BTC,ETH,LTC,XRP
2019-04-23 08-PM,5588.94,172.25,76.96,0.3237
2019-04-23 07-PM,5603.05,173.02,77.37,0.3225
2019-04-23 06-PM,5580.69,173.52,77.38,0.3232
2019-04-23 05-PM,5575.71,173.86,77.34,0.3237
2019-04-23 04-PM,5564.36,173.67,77.73,0.325
2019-04-23 03-PM,5580.14,173.58,77.54,0.325
2019-04-23 02-PM,5571.14,174.58,78.58,0.3262
2019-04-23 01-PM,5570.81,174.89,78.01,0.3274
2019-04-23 12-PM,5555.54,174.5,78.16,0.3253
2019-04-23 11-AM,5550.2,174.5,78.34,0.3254
2019-04-23 10-AM,5537.13,175.01,78.44,0.3261
2019-04-23 09-AM,5543.73,175.07,78.79,0.3264
2019-04-23 08-AM,5541,175.27,78.9,0.328
2019-04-23 07-AM,5535,175.58,78.98,0.3261
2019-04-23 06-AM,5535.24,174.71,78.5,0.326
2019-04-23 05-AM,5513.75,174.14,78.65,0.3264
2019-04-23 04-AM,5432.23,173.05,78.63,0.3251
2019-04-23 03-AM,5404.38,172.42,77.14,0.3234
2019-04-23 02-AM,5387.51,171.71,77.14,0.3246
2019-04-23 01-AM,5379.92,171.21,76.81,0.3245
2019-04-23 12-AM,5386.8,171.07,76.95,0.3236
2019-04-22 11-PM,5403.01,171.47,76.8,0.3236
2019-04-22 10-PM,5386.41,172.3,77.41,0.3264
2019-04-22 09-PM,5369.14,172.43,77.48,0.3231
2019-04-22 08-PM,5387.58,171.88,77.23,0.3239
2019-04-22 07-PM,5410.78,172.42,77.86,0.3237
2019-04-22 06-PM,5370.44,172.32,77.17,0.3239
2019-04-22 05-PM,5307.24,171.94,76.93,0.3242
2019-04-22 04-PM,5309.94,169.58,76.43,0.3221
2019-04-22 03-PM,5316.48,170.81,76.38,0.3219
2019-04-22 02-PM,5300.5,171.39,77.07,0.3242
2019-04-22 01-PM,5310.45,170.86,76.69,0.3241
2019-04-22 12-PM,5311.24,171.16,76.85,0.3257
2019-04-22 11-AM,5320.39,171.61,77.28,0.3268
2019-04-22 10-AM,5299.96,171.97,77.79,0.3276
2019-04-22 09-AM,5288.64,171.23,77.07,0.3281
2019-04-22 08-AM,5278.18,169.81,76.89,0.3268
2019-04-22 07-AM,5287.91,170.09,76.22,0.3265
2019-04-22 06-AM,5275.2,170.28,76.33,0.3264
2019-04-22 05-AM,5277.07,169.62,75.97,0.3257
2019-04-22 04-AM,5257.56,169.36,75.98,0.328
2019-04-22 03-AM,5264.03,168.43,75.72,0.3198
2019-04-22 02-AM,5268.4,168.95,76.28,0.3198
2019-04-22 01-AM,5289.55,169.4,76.19,0.3195
2019-04-22 12-AM,5295.65,170.25,77.23,0.3209
2019-04-21 11-PM,5292.57,169.87,77.51,0.3218
2019-04-21 10-PM,5275.06,169.94,77.23,0.3216
2019-04-21 09-PM,5239.73,169.11,76.53,0.3195
2019-04-21 08-PM,5259.38,168.2,75.95,0.3188
2019-04-21 07-PM,5240.58,168.31,75.85,0.3187
2019-04-21 06-PM,5264.56,168.02,75.62,0.3181
2019-04-21 05-PM,5270.96,168.4,75.9,0.3191
