,Year,Team,CapRoom
415,2015,49ers,29.5
416,2016,49ers,24.41000000000001
417,2017,49ers,31.08999999999999
418,2018,49ers,16.47999999999999
419,2019,49ers,6.659999999999997
420,2005,seahawks,41.40000000000001
421,2006,seahawks,40.19
422,2007,seahawks,19.890000000000015
423,2008,seahawks,12.599999999999994
424,2009,seahawks,15.290000000000006
425,2010,seahawks,8.369999999999976
426,2011,seahawks,25.290000000000006
427,2012,seahawks,16.210000000000008
428,2013,seahawks,9.849999999999994
429,2014,seahawks,18.25999999999999
430,2015,seahawks,14.730000000000018
431,2016,seahawks,3.1999999999999886
432,2017,seahawks,5.359999999999999
433,2018,seahawks,14.840000000000003
434,2019,seahawks,19.439999999999998
435,2005,buccaneers,50.25
436,2006,buccaneers,52.129999999999995
437,2007,buccaneers,39.31
438,2008,buccaneers,33.42
439,2009,buccaneers,33.349999999999994
440,2010,buccaneers,26.930000000000007
441,2011,buccaneers,39.370000000000005
442,2012,buccaneers,-14.149999999999977
443,2013,buccaneers,16.950000000000017
444,2014,buccaneers,1.960000000000008
445,2015,buccaneers,8.310000000000002
446,2016,buccaneers,7.290000000000006
447,2017,buccaneers,10.899999999999991
448,2018,buccaneers,7.1000000000000085
449,2019,buccaneers,10.780000000000015
450,2005,titans,37.889999999999986
451,2006,titans,41.760000000000005
452,2007,titans,40.75
453,2008,titans,35.2
454,2009,titans,25.689999999999998
455,2010,titans,17.63000000000001
456,2011,titans,12.36999999999999
457,2012,titans,2.8000000000000114
458,2013,titans,16.55000000000001
459,2014,titans,8.620000000000005
460,2015,titans,17.049999999999983
461,2016,titans,15.069999999999993
462,2017,titans,15.789999999999992
463,2018,titans,12.300000000000011
464,2019,titans,9.849999999999994
465,2005,redskins,54.589999999999996
466,2006,redskins,44.81
467,2007,redskins,51.599999999999994
468,2008,redskins,53.82
469,2009,redskins,26.03
470,2010,redskins,-27.200000000000003
471,2011,redskins,7.13000000000001
472,2012,redskins,10.740000000000009
473,2013,redskins,3.890000000000015
474,2014,redskins,0.5099999999999909
475,2015,redskins,5.6699999999999875
476,2016,redskins,20.11
477,2017,redskins,8.159999999999997
478,2018,redskins,11.539999999999992
479,2019,redskins,13.77000000000001
