AAV,Age,CapPerc,Dollars,From,Player,Position,To,Year,Years
540000.0,25,0.45,540000.0,TB,LeGarrette Blount,RB,TB,2012.0,1.0
540000.0,29,0.45,540000.0,ARI,Richard Bartel,QB,ARI,2012.0,1.0
465000.0,26,0.39,465000.0,TEN,Ryan Durand,G,MIA,2012.0,1.0
465000.0,25,0.39,465000.0,STL,Keith Toston,RB,JAC,2012.0,1.0
465000.0,24,0.39,465000.0,BUF,Johnny White,RB,GB,2012.0,1.0
465000.0,25,0.39,465000.0,JAC,Kevin Haslam,T,OAK,2012.0,1.0
465000.0,26,0.39,465000.0,KC,ance Long,WR,DET,2012.0,1.0
465000.0,24,0.39,465000.0,BAL,Sergio Kindle,LB,BAL,2012.0,1.0
465000.0,27,0.39,465000.0,KC,Quinten Lawrence,WR,MIA,2012.0,1.0
390000.0,23,0.32,390000.0,BAL,Josh Bynes,ILB,BAL,2012.0,1.0
381176.0,28,0.32,381176.0,GB,Daniel Muir,DT,NYJ,2012.0,1.0
12000000.0,27,9.71,60000000.0,PIT,Mike Wallace,WR,MIA,2013.0,5.0
7800000.0,27,6.31,46800000.0,BUF,Andy Levitre,G,TEN,2013.0,6.0
9000000.0,29,7.28,45000000.0,GB,Greg Jennings,WR,MIN,2013.0,5.0
6808333.0,28,5.51,40850000.0,ATL,Sam Baker,LT,ATL,2013.0,6.0
8100000.0,27,6.55,40500000.0,BAL,Paul Kruger,OLB,CLE,2013.0,5.0
6000000.0,26,4.85,36000000.0,HOU,Connor Barwin,OLB,PHI,2013.0,6.0
7193000.0,29,5.82,35965000.0,NO,Jermon Bushrod,T,CHI,2013.0,5.0
7020000.0,26,5.68,35100000.0,TEN,Jared Cook,TE,STL,2013.0,5.0
7000000.0,27,5.66,35000000.0,BAL,Dannell Ellerbe,OLB,MIA,2013.0,5.0
7000000.0,29,5.66,35000000.0,DET,Gosder Cherilus,RT,IND,2013.0,5.0
8500000.0,28,6.88,34000000.0,MIA,Jake Long,LT,STL,2013.0,4.0
6800000.0,27,5.5,34000000.0,OAK,Desmond Bryant,DE,CLE,2013.0,5.0
5700000.0,27,4.61,28500000.0,STL,Danny Amendola,WR,NE,2013.0,5.0
5200000.0,29,4.21,26000000.0,DEN,Elvis Dumervil,OLB,BAL,2013.0,5.0
5200000.0,28,4.21,26000000.0,OAK,Philip Wheeler,OLB,MIA,2013.0,5.0
5110000.0,27,4.13,25550000.0,PIT,Keenan Lewis,CB,NO,2013.0,5.0
5000000.0,28,4.05,25000000.0,DET,Chris Houston,CB,DET,2013.0,5.0
6250000.0,27,5.06,25000000.0,MIN,Phillip Loadholt,RT,MIN,2013.0,4.0
6000000.0,28,4.85,24000000.0,NYJ,Ron Landry,S,IND,2013.0,4.0
4700000.0,27,3.8,23500000.0,HOU,Glover Quin,FS,DET,2013.0,5.0
5875000.0,26,4.75,23500000.0,SD,Louis Vasquez,G,DEN,2013.0,4.0
5500000.0,26,4.45,22000000.0,SF,Ricky Jean Francois,DT,IND,2013.0,4.0
