Airline,Origin,Destination,Delay
WN,LAS,MCI,6.79
WN,STL,DEN,6.79
WN,STL,FLL,6.79
WN,TPA,BDL,6.79
WN,BNA,OMA,6.78
WN,MSY,SAN,6.77
WN,MDW,CLE,6.77
WN,LAS,PDX,6.77
WN,OAK,ABQ,6.77
WN,BHM,TPA,6.76
WN,DEN,SJC,6.75
WN,BWI,OKC,6.74
WN,STL,RDU,6.73
WN,BWI,ALB,6.73
WN,MKE,BOS,6.72
WN,OAK,RNO,6.71
WN,LAS,MSY,6.71
WN,FLL,LGA,6.71
WN,PHX,TPA,6.71
WN,CMH,TPA,6.71
WN,BWI,BDL,6.71
WN,PHX,OAK,6.71
WN,OAK,MSY,6.7
WN,SJC,SAN,6.7
WN,STL,DSM,6.69
WN,AUS,OAK,6.69
WN,SAN,MKE,6.68
WN,ATL,CAK,6.68
WN,AUS,SJC,6.68
WN,ABQ,DAL,6.67
WN,DEN,AUS,6.66
WN,BNA,LAX,6.66
WN,MSY,SAT,6.65
WN,STL,RSW,6.65
WN,BNA,DTW,6.64
WN,RDU,MCO,6.64
WN,STL,CLE,6.63
WN,BHM,MDW,6.63
WN,MCO,MSY,6.61
WN,MDW,SNA,6.6
WN,MCI,DEN,6.58
WN,LAS,AUS,6.58
WN,PHX,LIT,6.57
WN,BNA,ECP,6.57
WN,BUR,PHX,6.57
WN,MSY,MDW,6.57
WN,SAT,LAX,6.56
WN,CMH,DAL,6.56
WN,SAT,MCO,6.54
WN,TPA,MDW,6.54
WN,TPA,MHT,6.54
WN,BWI,ROC,6.53
WN,MSP,BWI,6.53
WN,HOU,PIT,6.52
WN,PHX,STL,6.52
WN,SAT,ELP,6.52
WN,MDW,BNA,6.52
WN,PHX,DAL,6.51
WN,MDW,RSW,6.51
WN,SJC,PDX,6.51
WN,PDX,LAX,6.5
WN,BNA,AUS,6.5
WN,HOU,MSY,6.49
WN,MCO,PIT,6.48
WN,DEN,BWI,6.48
WN,BWI,SMF,6.48
WN,ATL,MSP,6.48
WN,LAS,SJC,6.48
WN,AUS,ELP,6.47
WN,MCO,HOU,6.47
WN,OAK,SAN,6.46
WN,STL,MSY,6.46
WN,SJC,RNO,6.45
WN,SJC,LAS,6.45
WN,PHX,BUR,6.44
WN,JAX,DAL,6.44
WN,TPA,IND,6.44
WN,PHX,MKE,6.44
WN,SEA,BWI,6.43
WN,RNO,PHX,6.42
WN,OAK,BUR,6.41
WN,MSY,AUS,6.4
WN,STL,AUS,6.4
WN,MSP,DEN,6.39
WN,DEN,LAS,6.38
WN,DEN,ATL,6.36
WN,MCO,MDW,6.36
WN,LAS,ATL,6.35
WN,RDU,MSY,6.35
WN,PHX,CMH,6.35
WN,TPA,AUS,6.35
WN,SAN,MCI,6.33
WN,OAK,LAS,6.32
WN,STL,MCI,6.31
WN,EWR,BNA,6.31
WN,AUS,LAX,6.31
WN,TPA,ATL,6.29
WN,OAK,IND,6.29
WN,ATL,MKE,6.29
WN,AUS,MSY,6.28
WN,STL,PDX,6.27
WN,STL,LAX,6.26
WN,BWI,RDU,6.26
WN,TPA,BUF,6.26
WN,ATL,IAD,6.25
WN,SAN,IND,6.25
WN,OAK,GEG,6.25
