word,disgust,surprise,neutral,anger,sad,happy,fear
hues , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
huffed , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
huffi , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffili , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffily , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffiness , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffington , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
huffish , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffishness , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
huffy , 0.0059523815 , 0.0059523815 , 0.0059523815 , 0.13690476 , 0.0059523815 , 0.0059523815 , 0.0059523815
hug , 0.013227513 , 0.02910053 , 0.0026455028 , 0.02910053 , 0.023809526 , 0.02910053 , 0.02910053
huge , 8.1168837E-4 , 0.03327922 , 8.1168837E-4 , 0.026785716 , 0.025162337 , 0.026785716 , 0.03327922
hugely , 0.007936508 , 0.071428575 , 0.007936508 , 0.039682545 , 0.039682545 , 0.007936508 , 0.007936508
hugeness , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hugest , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hugged , 0.008928572 , 0.026785716 , 0.008928572 , 0.026785716 , 0.04464286 , 0.04464286 , 0.026785716
hugging , 0.011904763 , 0.011904763 , 0.011904763 , 0.05952381 , 0.035714287 , 0.035714287 , 0.035714287
hugh , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
hughes , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hugo , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
hugs , 0.011904763 , 0.011904763 , 0.011904763 , 0.035714287 , 0.011904763 , 0.035714287 , 0.083333336
huh , 0.023809526 , 0.11904762 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526
hula , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
hulk , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287
hulking , 0.035714287 , 0.107142866 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287
hull , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
hum , 0.011904763 , 0.083333336 , 0.011904763 , 0.011904763 , 0.035714287 , 0.011904763 , 0.035714287
human , 3.5360679E-6 , 3.5360679E-6 , 0.0014179633 , 3.5360679E-6 , 3.5360679E-6 , 1.0608204E-5 , 3.5360679E-6
humane , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575
humanely , 0.08928572 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144 , 0.017857144 , 0.017857144
humanism , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
humanitarian , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
humanity , 0.005494506 , 0.02747253 , 0.005494506 , 0.005494506 , 0.016483517 , 0.082417585 , 0.02747253
humankind , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
humanness , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.071428575
humanoids , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866
humans , 0.0031055904 , 0.04037267 , 0.0031055904 , 0.02173913 , 0.02173913 , 0.04037267 , 0.027950311
humble , 0.006493507 , 0.032467537 , 0.006493507 , 0.006493507 , 0.01948052 , 0.05844156 , 0.045454547
humbled , 0.004201681 , 0.079831935 , 0.004201681 , 0.012605043 , 0.004201681 , 0.03781513 , 0.021008406
humbleness , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.035714287 , 0.107142866 , 0.035714287
humbling , 0.017857144 , 0.08928572 , 0.017857144 , 0.017857144 , 0.017857144 , 0.053571433 , 0.017857144
humbly , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.071428575 , 0.023809526
humid , 0.023809526 , 0.023809526 , 0.023809526 , 0.071428575 , 0.023809526 , 0.023809526 , 0.071428575
