Airline,Origin,Destination,Total_Delay,Latitude_OR,Longitude_OR,Latitude_DEST,Longitude_DEST
WN,RSW,PVD,9.35,26.53619957,-81.75520325,41.732601,-71.420403
WN,TPA,SAT,9.33,27.97550011,-82.53320313,29.53370094,-98.46980286
WN,LAX,DEN,9.32,33.94250107,-118.4079971,39.86169815,-104.6729965
WN,LAS,ONT,9.31,36.08010101,-115.1520004,34.05599976,-117.6009979
WN,AUS,BOS,9.29,30.19449997,-97.66989899,42.36429977,-71.00520325
WN,DAL,OAK,9.28,32.847099,-96.851799,37.721298,-122.221001
WN,STL,DCA,9.27,38.748697,-90.370003,38.8521,-77.037697
WN,DAL,SNA,9.26,32.847099,-96.851799,33.67570114,-117.8679962
WN,LAX,SMF,9.26,33.94250107,-118.4079971,38.69540024,-121.5910034
WN,MKE,LGA,9.25,42.94720078,-87.89659882,40.77719879,-73.87259674
WN,DEN,FLL,9.23,39.86169815,-104.6729965,26.072599,-80.152702
WN,ABQ,PHX,9.18,35.040199,-106.609001,33.43429947,-112.012001
WN,MDW,PVD,9.18,41.785999,-87.752403,41.732601,-71.420403
WN,ATL,MCO,9.18,33.6367,-84.428101,28.42939949,-81.30899811
WN,LAX,OAK,9.18,33.94250107,-118.4079971,37.721298,-122.221001
WN,ATL,DAL,9.17,33.6367,-84.428101,32.847099,-96.851799
WN,SAN,TUS,9.16,32.73360062,-117.1900024,32.11610031,-110.9410019
WN,MDW,IND,9.16,41.785999,-87.752403,39.7173,-86.294403
WN,DAL,DCA,9.16,32.847099,-96.851799,38.8521,-77.037697
WN,ATL,BOS,9.16,33.6367,-84.428101,42.36429977,-71.00520325
WN,DAL,RNO,9.15,32.847099,-96.851799,39.49909973,-119.7679977
WN,SEA,SMF,9.15,47.449001,-122.308998,38.69540024,-121.5910034
WN,ATL,FLL,9.15,33.6367,-84.428101,26.072599,-80.152702
WN,LAS,ICT,9.14,36.08010101,-115.1520004,37.649899,-97.433098
WN,RNO,LAX,9.13,39.49909973,-119.7679977,33.94250107,-118.4079971
WN,DAL,TUL,9.12,32.847099,-96.851799,36.19839859,-95.88809967
WN,LAS,TPA,9.12,36.08010101,-115.1520004,27.97550011,-82.53320313
WN,STL,ECP,9.12,38.748697,-90.370003,30.357106,-85.795414
WN,HOU,FLL,9.12,29.64539909,-95.27890015,26.072599,-80.152702
WN,HOU,SJC,9.11,29.64539909,-95.27890015,37.362598,-121.929001
WN,DEN,TPA,9.09,39.86169815,-104.6729965,27.97550011,-82.53320313
WN,MCI,LGA,9.09,39.2976,-94.713898,40.77719879,-73.87259674
WN,BUR,HOU,9.08,34.20069885,-118.3590012,29.64539909,-95.27890015
WN,IAD,MCO,9.07,38.94449997,-77.45580292,28.42939949,-81.30899811
WN,HNL,OAK,9.07,21.32062,-157.924228,37.721298,-122.221001
WN,DEN,OKC,9.06,39.86169815,-104.6729965,35.39310074,-97.60070038
WN,DCA,PVD,9.04,38.8521,-77.037697,41.732601,-71.420403
WN,MDW,PHL,9.02,41.785999,-87.752403,39.87189865,-75.2410965
WN,LAS,PHX,9.02,36.08010101,-115.1520004,33.43429947,-112.012001
WN,BWI,LAX,9,39.1754,-76.668297,33.94250107,-118.4079971
WN,DAL,RSW,9,32.847099,-96.851799,26.53619957,-81.75520325
WN,PHX,PHL,9,33.43429947,-112.012001,39.87189865,-75.2410965
WN,MDW,MHT,9,41.785999,-87.752403,42.932598,-71.435699
WN,DAL,MDW,8.98,32.847099,-96.851799,41.785999,-87.752403
WN,MCO,SAT,8.95,28.42939949,-81.30899811,29.53370094,-98.46980286
WN,ATL,MSY,8.95,33.6367,-84.428101,29.99340057,-90.25800323
WN,SNA,AUS,8.95,33.67570114,-117.8679962,30.19449997,-97.66989899
WN,LAS,MCO,8.95,36.08010101,-115.1520004,28.42939949,-81.30899811
WN,DEN,DTW,8.95,39.86169815,-104.6729965,42.21239853,-83.35340118
WN,LAS,ELP,8.94,36.08010101,-115.1520004,31.80719948,-106.3779984
WN,STL,PIT,8.93,38.748697,-90.370003,40.49150085,-80.23290253
WN,MSY,CMH,8.92,29.99340057,-90.25800323,39.998001,-82.891899
WN,MDW,MSP,8.92,41.785999,-87.752403,44.882,-93.221802
